,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
142,0,,,,,,,,,ISLA LOBOS DE AFUERA,X4720A6CC,0,0,,0,,#DIV/0!,
143,25560,0.071134585,0.645419022,0,0,0,26.2,2021-05-05-23,2018-01-02-00,JAEN GORE,X47269398,24240,1320,0,255,1.7,0.948356808,
144,23160,0.233324698,1.539787109,0,0,0,52.7,2021-06-30-23,2018-09-08-00,JUANCITO COHIDRO,X251108,20739,2421,0,232,5.941,0.895466321,
145,26952,0.070577323,0.464323963,0,0,0,14.7,2021-06-30-23,2018-01-02-00,JULIACA,X472CF72C,25102,1850,0,268,2,0.931359454,
146,19752,0.139297286,0.743269037,0,0,0,18.2,2020-12-13-23,2018-01-02-00,LA ANGOSTURA,X472A8172,17656,2096,0,191,3.9,0.893884164,
147,15792,0.048188956,0.746386317,0,0,0,44,2021-06-30-23,2018-02-14-00,LA ARDILLA,X47E09732,15377,415,0,146,0.7,0.973720871,
148,23232,0.25457989,1.219532973,0,0,0,37,2021-06-30-23,2018-01-04-00,LA FORTUNA,X107131,19164,4068,0,230,5.4,0.824896694,
149,28320,0.071532486,0.561543123,0,0,0,29.5,2021-06-30-23,2018-01-02-00,LA MUCHAL,X47E35522,25188,3132,0,283,1.5,0.88940678,
150,8904,0.049191375,0.629032352,0,0,0,34.7,2021-06-30-23,2020-03-28-00,LAGARTERA,X47E0F2D4,8520,384,0,87,1,0.956873315,
151,18240,0.001754386,0.043895926,0,0,0,2.3,2021-06-30-23,2018-01-02-00,LAGUNA ARICOTA,X47E12646,18170,70,0,70,0,0.996162281,
152,0,,,,,,,,,LAGUNA VILACOTA,X47E100AA,0,0,,0,,#DIV/0!,
153,27744,0.079999279,0.494874847,0,0,0,17.1,2021-06-30-23,2018-01-02-00,LAGUNILLAS,X472E8448,25662,2082,0,273,2.3,0.924956747,
154,28248,0.018033135,0.368762671,0,0,0,30.9,2021-06-30-23,2018-01-02-00,LANCONES,X472FD6CE,27835,413,0,252,0.1,0.985379496,
155,24912,0.077870103,0.49096979,0,0,0,11.5,2021-06-30-23,2018-01-19-00,LARAQUERI,X472CB426,23156,1756,0,245,2.3,0.929511882,
156,2448,0.004493464,0.071158812,0,0,0,2.6,2018-05-03-23,2018-01-13-00,LETRAYOC GORE,X4728247E,2428,20,0,20,0,0.991830065,
157,25992,0.061715143,0.533308703,0,0,0,33.6,2021-05-13-23,2018-01-14-00,LUCMA,X472D552E,24475,1517,0,237,1.8,0.941635888,
158,12024,0.203925482,0.936683647,0,0,0,17.6,2021-04-26-23,2018-01-02-00,MACHUPICCHU,X472897F0,10160,1864,0,117,4.6,0.844976713,
159,28200,0.067865248,0.685839804,0,0,0,46.3,2021-06-30-23,2018-01-02-00,MAGUNCHAL,X472B2370,26539,1661,0,274,1.6,0.941099291,
160,0,,,,,,,,,MALABRIGO (SALAVERRY),X4720B5BA,0,0,,0,,#DIV/0!,
161,25680,0.051978193,0.704686584,0,0,0,36.4,2021-06-21-23,2018-01-02-00,MALACASI,X472FA05E,24882,798,0,248,0.9,0.968925234,
162,15312,0.276155956,1.819265411,0,0,0,53.7,2021-06-30-23,2018-01-02-00,MALINOWSKY,X47E8336C,11050,2168,0.1,154,6.489,0.721656217,
163,28392,0.113035362,0.617030375,0,0,0,17.7,2021-06-30-23,2018-01-01-00,MARCA CUNKA,X114123,25607,2785,0,283,3,0.901908988,
164,24312,0.131260283,0.568364514,0,0,0,17.6,2021-06-30-23,2018-01-02-00,MARCAPATA,X4722B04E,20028,4284,0,232,3,0.823790721,
165,26232,0.114013419,0.507067532,0,0,0,18.5,2021-06-30-23,2018-01-02-00,MARCAPOMACOCHA,X472D9030,22952,3280,0,253,2.6,0.874961879,
166,15408,0.12933541,0.537632922,0,0,0,11,2021-06-30-23,2018-03-02-00,MARCAPOMACOCHA EDEGEL,X47E8C3E8,13396,2012,0,146,2.8,0.869418484,
167,22584,0.294394261,1.880618598,0,0,0,48.4,2021-06-29-23,2018-09-11-00,MARISCAL CASTILLA COHIDRO,X472A71F6,19758,2826,0,226,7.717,0.874867163,
168,16344,0.081197993,0.446683246,0,0,0,15.4,2020-11-30-23,2018-01-02-00,MARMOT,X472CC2B6,13675,2669,0,163,1.7,0.836698483,
169,28368,0.082811619,0.80972338,0,0,0,40.8,2021-06-30-23,2018-01-02-00,MATAPALO,X472F353C,26593,1775,0,284,2.133,0.937429498,
170,0,,,,,,,,,MATARANI,X4720F6B0,0,0,,0,,#DIV/0!,
171,26280,0.04358067,0.31651025,0,0,0,12.7,2021-06-30-23,2018-01-02-00,MATUCANA,X472CE45A,24729,1551,0,248,1.3,0.940981735,
172,16176,0,0,0,0,0,0,2021-06-22-23,2018-09-08-00,MILLOC EDEGEL,X472542FE,16176,0,0,0,0,1,
173,26952,0.004482042,0.110207499,0,0,0,8.4,2021-06-30-23,2018-01-02-00,MOQUEGUA,X4723F1BE,26721,231,0,231,0,0.991429207,
